matchid,teamid,0_1,0_2,0_3,0_4,1_2,1_3,1_4,2_3,2_4,3_4,cs_00,cs_01,cs_02,cs_03,cs_04,cs_05,cs_06,cs_07,cs_08,cs_09,total_cs,gameDuration,win,total_death,total_kills,total_obj,delta_cs
NA1_3887948830,0,44,7,1,1,5,1,1,1,1,97,97,44,7,5,1,1,1,1,1,1,159,1007549,False,22,6,6,-1447
NA1_3887948830,1,115,114,119,77,131,136,73,329,288,224,329,288,224,136,131,119,115,114,77,73,1606,1007549,True,7,22,6,1447
NA1_3887942821,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2312577,True,28,37,6,-451
NA1_3887942821,1,451,1,1,1,1,1,2,1,1,1,451,2,1,1,1,1,1,1,1,1,461,2312577,False,37,28,6,451
NA1_3887842830,0,1,1,1,1,62,1,1,1,1,1,62,1,1,1,1,1,1,1,1,1,71,1816583,True,30,48,6,61
NA1_3887842830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1816583,False,49,30,6,-61
NA1_3886854779,0,1,2,10,2,1,1,1,2,21,268,268,21,10,2,2,2,1,1,1,1,309,1340195,True,16,24,6,-3
NA1_3886854779,1,1,1,4,1,1,1,1,1,300,1,300,4,1,1,1,1,1,1,1,1,312,1340195,False,24,16,6,3
NA1_3886745503,0,20,1,1,1,1,1,1,44,182,106,182,106,44,20,1,1,1,1,1,1,358,2009322,True,25,38,6,49
NA1_3886745503,1,1,1,1,1,2,10,2,2,21,268,268,21,10,2,2,2,1,1,1,1,309,2009322,False,39,25,6,-49
NA1_3886674313,0,1,378,1,1,1,1,1,1,1,268,378,268,1,1,1,1,1,1,1,1,654,2005436,False,40,35,6,-292
NA1_3886674313,1,1,872,1,1,1,1,1,1,1,66,872,66,1,1,1,1,1,1,1,1,946,2005436,True,35,40,6,292
NA1_3886586371,0,1,1,1,1,1,1,1,1,79,1,79,1,1,1,1,1,1,1,1,1,88,1934329,False,38,26,6,-628
NA1_3886586371,1,1,440,1,1,1,1,1,1,1,268,440,268,1,1,1,1,1,1,1,1,716,1934329,True,26,38,6,628
NA1_3886507414,0,1,1,1,1,1,1,1,1,36,1,36,1,1,1,1,1,1,1,1,1,45,1844728,True,20,32,6,-232
NA1_3886507414,1,1,1,1,1,1,1,1,1,1,268,268,1,1,1,1,1,1,1,1,1,277,1844728,False,32,20,6,232
